"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
4.1666665,118161.086,115289.64,53294.098,168083.03,34868.875,87116.38,421.38754,942.7166,2572.2969,3551.3428,7464.7446,5264.638,1103.4238,1393.0,51558.742,127951.82,24188.293,7259.246,7033.047,48530.453,3774.0107,76923.29,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
4.25,95549.17,130198.336,61120.652,171327.61,27374.885,86460.91,526.3545,922.6833,2863.894,3406.7656,6452.703,5282.6797,836.531,1364.9098,49988.42,124511.05,23034.453,7190.8687,7514.0146,47997.61,3842.3032,78234.02,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
4.3333335,82673.54,101862.01,67967.984,164338.61,50270.957,85270.62,573.14325,902.7443,3040.5295,3383.5613,5888.7295,5471.921,665.57074,1317.1342,55277.44,121866.84,28334.0,7123.425,7231.3364,46984.484,8090.391,78831.2,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
4.4166665,82644.555,50175.0,75291.8,173583.8,36113.723,99591.13,437.6844,891.5763,2884.831,3255.684,6497.8833,5609.567,904.34766,1268.7543,60350.66,122106.34,29418.371,6991.687,8304.12,45795.234,10531.64,80421.52,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
4.5,119182.945,48631.734,76609.1,179089.97,40659.61,90690.27,362.45227,885.8846,2774.392,3179.9448,8378.464,5629.122,1056.0441,1213.2526,55544.746,123145.64,27976.258,6988.927,6042.4897,48103.93,7548.7114,82966.7,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
4.5833335,163232.4,46388.586,79132.266,189229.3,57840.47,86698.74,350.72192,880.705,1643.4769,4043.7642,9461.586,5569.529,1046.902,1244.2667,54667.254,122081.97,26834.344,6721.39,5895.8013,49307.242,5839.353,84346.2,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
4.6666665,148174.86,67119.63,76635.3,200059.28,31913.545,95768.164,444.62158,865.43835,2773.6282,3976.4219,9216.355,6097.527,923.68195,1278.0715,51489.664,119855.65,25493.404,6836.516,6150.1055,50401.816,6171.2095,85508.59,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
4.75,115959.7,90202.59,69233.3,216059.92,21327.469,89933.95,630.3784,833.9081,5143.059,3828.381,8523.229,6064.761,750.08295,1269.1681,50012.535,116112.37,24312.543,6813.6807,5177.502,51374.406,8144.4814,86403.32,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
4.8333335,78974.414,90761.32,65762.41,213742.16,43428.484,88289.6,939.8153,836.58984,5492.5493,3785.4556,8381.583,5856.081,551.16156,1256.542,67240.86,112686.65,29426.078,6957.053,5563.435,51274.984,14171.899,86789.89,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
4.9166665,64968.19,58637.332,70061.586,225536.17,31991.191,90510.68,923.3742,841.68115,4647.535,3762.5608,8444.022,5946.1567,640.6803,1202.0679,81852.69,110793.09,30447.736,6941.134,5690.312,50344.777,12798.907,91025.016,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
