"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
3.0833333,371975.8,79512.03,52411.25,352998.53,39176.707,57571.918,309.08722,1257.5403,2686.788,2566.7974,3914.9585,2450.8108,940.88226,1829.8608,46081.516,117091.34,22590.682,7442.726,1783.3567,38269.504,2878.7263,92750.57,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
3.1666667,341215.4,131917.25,47528.64,353852.06,30092.441,58609.117,360.60138,1226.2457,2920.904,2578.2202,3036.4185,2621.0945,532.55164,1886.7806,41717.027,116412.82,21534.355,7172.788,2145.7795,38279.58,3029.2065,92685.875,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
3.25,303256.44,155915.86,44567.145,351299.88,18984.318,65350.527,440.09558,1198.1643,3488.7415,2524.3896,2743.2388,2530.125,459.0584,1890.4872,40870.543,114646.55,20470.773,6994.431,2984.2932,37606.03,2816.4702,93410.98,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
3.3333333,234631.73,144862.64,41026.742,290077.44,21224.615,72487.44,600.42596,1154.6818,2913.998,2570.454,2586.122,2517.1108,489.31924,1910.8226,53244.4,112387.98,25864.164,6767.303,3275.3955,36720.42,3245.049,94067.13,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
3.4166667,210037.55,93337.766,46114.45,218582.05,14726.682,79072.29,561.839,1150.9468,2632.0874,2790.033,2515.1409,2640.9697,1070.0977,1954.0664,55682.246,111659.73,26956.482,6537.246,3933.8472,35917.574,5217.7163,93932.414,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
3.5,292787.47,77904.04,50652.387,180995.81,18500.623,80359.5,594.8132,1181.5985,2389.8853,3058.8628,3878.78,2615.76,1433.6573,1995.2151,47042.223,110841.07,25619.807,6324.9614,3630.7063,35372.406,5720.879,94529.805,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
3.5833333,326494.1,78109.02,51346.438,180836.44,32758.967,79261.91,485.94858,1234.4084,2582.011,3243.417,4441.434,2770.4102,1535.7905,1997.6323,39386.83,109752.945,24049.676,6371.2573,3759.7085,34917.312,4586.298,95482.03,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
3.6666667,321777.8,94811.54,51291.207,179798.31,21050.766,78213.29,531.8519,1263.4115,4283.642,3245.3186,4152.867,2906.1052,1576.7278,1973.012,53491.3,107133.07,22765.36,6324.003,3496.6213,34423.457,2706.2878,95950.4,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
3.75,287513.7,113613.19,52766.895,178869.36,13502.896,75197.06,564.75757,1217.7648,6760.887,3147.0793,3984.3828,2925.827,1408.8093,1940.3405,50421.355,106079.836,21618.285,6163.701,3699.372,34067.33,2511.6423,95824.99,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
3.8333333,223829.97,111011.54,53361.65,170616.5,33263.074,73042.21,613.6835,1313.3375,7523.82,2998.4492,3571.2097,2864.5098,1059.8926,2006.0302,61512.97,104851.56,27109.504,5929.0854,3642.5432,33851.46,4738.9297,95630.11,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
